trade_date,open,close,high,low,volume,ts_code
2015/10/21,192.141,190.458,192.587,187.32,22349,600519
2015/10/22,190.391,192.568,192.759,189.621,23720,600519
2015/10/23,195.678,200.603,206.897,195.44,56277,600519
2015/10/26,201.573,207.021,207.563,197.769,43346,600519
2015/10/27,206.422,204.663,206.973,202.124,22572,600519
2015/10/28,204.416,201.991,204.416,201.478,16559,600519
2015/10/29,201.573,202.523,204.225,201.573,13454,600519
2015/10/30,202.476,203.341,205.186,201.687,12257,600519
2015/11/2,204.045,202.105,205.243,202.048,15298,600519
2015/11/3,202.447,199.395,205.148,198.15,23173,600519
2015/11/4,200.222,204.406,205.376,199.776,30809,600519
2015/11/5,204.045,205.908,212.298,202.999,49982,600519
2015/11/6,206.659,207.677,207.848,204.958,21695,600519
2015/11/9,211.081,209.968,213.61,208.228,40527,600519
2015/11/10,209.179,211.442,213.096,208.38,28729,600519
2015/11/11,211.09,209.322,212.032,207.848,23815,600519
2015/11/12,209.398,209.189,212.032,208.59,16180,600519
2015/11/13,207.373,204.53,208.704,204.263,28397,600519
2015/11/16,202.048,203.265,205.851,201.573,23916,600519
2015/11/17,204.159,203.817,206.802,202.657,21986,600519
2015/11/18,203.084,204.102,205.376,203.084,19725,600519
2015/11/19,203.474,204.454,205.376,203.379,15262,600519
2015/11/20,204.558,203.208,205.167,202.619,22274,600519
2015/11/23,202.523,202.162,203.322,202.058,20994,600519
2015/11/24,201.943,201.278,202.79,199.671,20469,600519
2015/11/25,201.287,202.504,202.523,200.051,24249,600519
2015/11/26,202.989,202.371,203.275,201.411,18804,600519
2015/11/27,202.039,197.522,202.086,196.467,16220,600519
2015/11/30,197.807,203.769,204.216,197.57,33440,600519
2015/12/1,202.523,203.284,203.427,200.622,18877,600519
2015/12/2,203.931,210.681,215.835,201.573,47891,600519
2015/12/3,208.228,209.369,210.51,206.041,22386,600519
2015/12/4,209.141,204.72,209.141,204.435,20848,600519
2015/12/7,204.425,203.959,206.308,202.714,19255,600519
2015/12/8,203.997,201.516,203.997,201.059,17393,600519
2015/12/9,201.173,203.921,204.473,201.097,14119,600519
2015/12/10,204.425,202.485,205.566,201.563,13786,600519
2015/12/11,202.048,201.012,202.048,200.146,13035,600519
2015/12/14,199.852,203.569,204.311,198.72,20701,600519
2015/12/15,203.284,203.959,204.035,201.649,15088,600519
2015/12/16,203.864,203.389,204.083,202.134,20144,600519
2015/12/17,203.845,205.243,206.213,203.474,24253,600519
2015/12/18,204.9,206.213,208.371,204.53,28460,600519
2015/12/21,207.277,215.863,217.908,207.277,59391,600519
2015/12/22,215.645,213.962,215.645,212.298,28402,600519
2015/12/23,214.361,212.032,215.54,211.746,22374,600519
2015/12/24,212.963,213.724,214.58,212.222,15577,600519
2015/12/25,213.933,213.458,214.561,211.917,11542,600519
2015/12/28,214.39,208.342,214.884,208.228,25594,600519
2015/12/29,207.867,209.017,209.597,207.762,15774,600519
2015/12/30,209.35,208.095,209.807,206.821,20147,600519
2015/12/31,207.487,207.458,208.704,207.106,19673,600519
2016/1/4,207.277,199.671,207.277,199.661,17349,600519
2016/1/5,199.671,202.352,203.446,197.303,31908,600519
2016/1/6,202.314,201.744,203.151,199.005,23760,600519
2016/1/7,198.711,192.283,198.711,190.191,8148,600519
2016/1/8,194.128,194.565,197.769,190.163,44510,600519
2016/1/11,193.167,190.03,193.766,189.592,29702,600519
2016/1/12,191.209,187.111,192.16,186.36,40287,600519
2016/1/13,189.307,189.954,195.868,188.832,29201,600519
2016/1/14,187.415,194.746,195.849,185.894,34776,600519
2016/1/15,194.679,189.212,196.039,188.261,26681,600519
2016/1/18,188.261,189.621,192.445,187.501,27371,600519
2016/1/19,191.114,199.899,199.985,190.172,59110,600519
2016/1/20,196.819,192.369,199.823,191.123,40968,600519
2016/1/21,191.361,190.41,194.527,190.068,21832,600519
2016/1/22,193.12,192.768,193.396,189.031,22733,600519
2016/1/25,193.015,192.797,193.481,191.589,13750,600519
2016/1/26,191.104,189.222,194.413,188.737,22280,600519
2016/1/27,190.144,190.096,191.009,186.074,29840,600519
2016/1/28,189.925,186.968,189.925,185.998,17903,600519
2016/1/29,187.767,190.781,192.54,187.31,23090,600519
2016/2/1,192.16,191.389,192.825,190.058,19178,600519
2016/2/2,192.064,194.489,194.727,190.771,17842,600519
2016/2/3,192.616,193.643,194.499,191.589,15156,600519
2016/2/4,194.727,194.907,195.754,193.529,16624,600519
2016/2/5,194.907,193.842,195.088,192.568,14227,600519
2016/2/15,190.163,190.553,193.015,189.783,19470,600519
2016/2/16,190.695,193.89,197.769,190.695,19223,600519
2016/2/17,193.719,192.35,194.841,190.648,20349,600519
2016/2/18,193.205,191.789,193.586,191.209,18892,600519
2016/2/19,191.703,193.12,193.186,191.237,14238,600519
2016/2/22,195.868,197.579,198.074,195.868,27759,600519
2016/2/23,197.551,201.962,204.406,196.838,37460,600519
2016/2/24,201.763,207.03,207.306,200.631,33129,600519
2016/2/25,208.038,201.962,209.636,201.696,39480,600519
2016/2/26,202.619,206.175,208.466,200.869,28332,600519
2016/2/29,208.219,204.339,210.016,196.628,47712,600519
2016/3/1,205.338,207.677,209.464,200.051,34004,600519
2016/3/2,208.228,213.192,214.409,207.915,47942,600519
2016/3/3,213.933,216.605,220.57,210.757,40193,600519
2016/3/4,215.721,227.035,228.348,213.943,85838,600519
2016/3/7,226.398,222.148,228.195,219.686,39345,600519
2016/3/8,221.825,217.936,221.825,215.835,26147,600519
2016/3/9,215.835,216.253,221.207,214.979,16402,600519
2016/3/10,217.727,216.843,222.205,216.786,25727,600519
2016/3/11,215.397,216.833,220.475,214.409,16320,600519
2016/3/14,219.41,213.524,222.015,211.271,45277,600519
2016/3/15,213.743,220.513,222.861,213.306,36356,600519
2016/3/16,218.896,217.366,221.064,213.933,24250,600519
2016/3/17,218.687,218.269,222.586,217.071,28820,600519
2016/3/18,220.589,214.884,220.836,214.675,70568,600519
2016/3/21,215.512,220.57,220.608,215.502,38547,600519
2016/3/22,220.836,222.956,226.465,220.113,41766,600519
2016/3/23,223.632,223.413,225.343,221.235,21412,600519
2016/3/24,223.441,230.725,233.33,219.923,62068,600519
2016/3/25,230.572,232.93,237.504,229.165,44756,600519
2016/3/28,232.93,237.304,240.917,232.93,48337,600519
2016/3/29,237.323,235.907,238.654,232.417,36688,600519
2016/3/30,236.753,236.429,238.084,233.406,27782,600519
2016/3/31,237.551,235.46,237.989,234.842,19457,600519
2016/4/1,236.705,233.035,238.169,232.512,25146,600519
2016/4/5,231.048,233.444,235.327,231.048,25047,600519
2016/4/6,233.71,244.559,244.93,233.71,48424,600519
2016/4/7,244.255,241.611,244.816,240.195,25536,600519
2016/4/8,239.605,237.57,243.304,235.992,23156,600519
2016/4/11,238.179,231.732,242.629,231.523,119284,600519
2016/4/12,231.713,232.873,232.949,230.192,23339,600519
2016/4/13,233.33,230.325,236.401,229.812,54274,600519
2016/4/14,230.458,230.82,232.788,229.146,28664,600519
2016/4/15,230.706,232.854,232.93,229.336,19029,600519
2016/4/18,230.858,231.694,233.9,230.572,18593,600519
2016/4/19,232.56,231.219,233.13,229.574,14236,600519
2016/4/20,231.229,226.712,232.379,224.202,33708,600519
2016/4/21,228.671,228.547,230.382,226.579,29672,600519
2016/4/22,229.146,235.231,235.688,228.547,35459,600519
