trade_date,open,high,low,close,volume
2016/6/27,190.860001,198.809998,187.869995,198.550003,7205400
2016/6/28,201.889999,204.050003,199.410004,201.789993,6212400
2016/6/29,205.130005,211.779999,203,210.190002,5994900
2016/6/30,212.970001,213.5,209.020004,212.279999,4843100
2016/7/1,206.139999,218.240005,206,216.5,5400000
2016/7/5,209.729996,214.539993,208,213.979996,5175300
2016/7/6,210,215.229996,209,214.440002,4919900
2016/7/7,213.100006,218.119995,213.009995,215.940002,3612000
2016/7/8,217.800003,219.809998,214.5,216.779999,4074800
2016/7/11,219.960007,226.779999,219.509995,224.779999,5429800
2016/7/12,224.100006,227.5,223.220001,224.649994,4571300
2016/7/13,225.5,225.589996,220.289993,222.529999,3567100
2016/7/14,223.119995,224.940002,221.050003,221.529999,2675800
2016/7/15,222.520004,222.75,219.639999,220.399994,2234200
2016/7/18,219.639999,227.089996,218.300003,226.25,3412100
2016/7/19,225,229.100006,224.75,225.259995,3115100
2016/7/20,226.470001,229.800003,225,228.360001,2568500
2016/7/21,226,227.850006,219.100006,220.5,4428700
2016/7/22,221.990005,224.5,218.880005,222.270004,2579700
2016/7/25,222.270004,231.389999,221.369995,230.009995,4490700
2016/7/26,227.690002,230,225.300003,229.509995,3430000
2016/7/27,229.339996,233.360001,226.919998,228.490005,2889000
2016/7/28,227.949997,230.759995,226.600006,230.610001,2419100
2016/7/29,230.699997,235.279999,230.240005,234.789993,3070800
2016/8/1,235.5,236.630005,229.380005,230.009995,4016300
2016/8/2,229.369995,229.869995,221.399994,227.199997,3934400
2016/8/3,227.369995,229.699997,224.210007,225.789993,3887800
2016/8/4,225.690002,230.860001,222.050003,230.610001,4147000
2016/8/5,230,232,227.399994,230.029999,3205200
2016/8/8,228,229.600006,226.089996,226.160004,2263600
2016/8/9,226.820007,231.539993,226.649994,229.080002,2207800
2016/8/10,228.240005,229.869995,224.619995,225.649994,2338300
2016/8/11,226.169998,227.570007,223.410004,224.910004,1880900
2016/8/12,225.410004,226.649994,224.039993,225.610001,1813500
2016/8/15,226.020004,229.5,224.929993,225.589996,2034300
2016/8/16,225.490005,227.190002,223.410004,223.610001,2267100
2016/8/17,224.330002,224.830002,222.800003,223.240005,1787100
2016/8/18,223.820007,225.660004,222.289993,223.509995,1714500
2016/8/19,223.539993,225.169998,222.529999,225,1659500
2016/8/22,224.169998,225.110001,222.679993,222.929993,2065500
2016/8/23,224.320007,228.490005,222.800003,224.839996,4784400
2016/8/24,227.050003,227.149994,222.220001,222.619995,2570700
2016/8/25,223.110001,223.800003,220.770004,220.960007,1762500
2016/8/26,222.139999,222.860001,218.820007,219.990005,2239000
2016/8/29,220.149994,220.399994,215,215.199997,3266300
2016/8/30,216.110001,216.110001,210.520004,211.339996,3168900
2016/8/31,210.429993,212.600006,208.649994,212.009995,3276500
2016/9/1,209.009995,211.100006,200.5,200.770004,7943100
2016/9/2,202.330002,203.199997,196.199997,197.779999,5977400
2016/9/6,199.020004,203.25,199,202.830002,4390600
2016/9/7,205.5,206.5,200.710007,201.710007,3640900
2016/9/8,199.550003,199.889999,196.360001,197.360001,3377900
2016/9/9,199.089996,199.919998,193.699997,194.470001,3757000
2016/9/12,195,201.369995,194.100006,198.300003,3715200
2016/9/13,197.059998,198.490005,193.449997,196.050003,3589400
2016/9/14,195.75,197.919998,194.860001,196.410004,2254500
2016/9/15,196.490005,202.520004,196.399994,200.419998,3077200
2016/9/16,200.419998,205.699997,199,205.399994,3107800
2016/9/19,207,209.429993,205,206.339996,2299500
2016/9/20,206.850006,207.75,203.910004,204.639999,2410500
2016/9/21,206.369995,207,201.559998,205.220001,2633500
2016/9/22,206.399994,207.279999,203,206.429993,2382900
2016/9/23,205.990005,210.179993,205.669998,207.449997,2905200
2016/9/26,206.5,211,206.5,208.990005,2394400
2016/9/27,209.649994,209.979996,204.610001,205.809998,3373200
2016/9/28,207.509995,208.25,205.259995,206.270004,2088400
2016/9/29,205.600006,207.330002,200.580002,200.699997,2727000
2016/9/30,202.210007,204.979996,199.550003,204.029999,2586300
2016/10/3,212.300003,215.669998,208.25,213.699997,5999900
2016/10/4,213.100006,213.320007,208.820007,211.410004,3541500
2016/10/5,212.240005,213.149994,208.119995,208.460007,1877500
2016/10/6,202.460007,204.210007,200.210007,201,4703400
2016/10/7,201,201.320007,195.800003,196.610001,3493000
2016/10/10,201.350006,204.139999,199.660004,200.949997,3316300
2016/10/11,201.850006,202.199997,198.309998,200.100006,2328400
2016/10/12,200.949997,203.880005,200.419998,201.509995,1970700
2016/10/13,200.5,200.899994,197.050003,200.240005,2494600
2016/10/14,200.660004,201.429993,196.300003,196.509995,4269900
2016/10/17,197.050003,198.389999,192,193.960007,4554100
2016/10/18,195.990005,199.470001,193.259995,199.100006,5680500
2016/10/19,199.740005,206.660004,198.059998,203.559998,6991200
2016/10/20,202.119995,203,197.050003,199.100006,5072900
2016/10/21,198.600006,201.570007,197.410004,200.089996,2943400
2016/10/24,201,203.949997,200.25,202.759995,2751600
2016/10/25,202.899994,204.690002,201.199997,202.339996,2445000
2016/10/26,201,203.190002,200.100006,202.240005,5632800
2016/10/27,211.339996,213.699997,201.649994,204.009995,13093700
2016/10/28,204,205.320007,199.830002,199.970001,4280100
2016/10/31,202.490005,202.490005,195.809998,197.729996,4692300
2016/11/1,198.039993,198.5,188.110001,190.789993,7060000
2016/11/2,190.050003,192.699997,187.509995,188.020004,4253400
2016/11/3,189,191.470001,187.039993,187.419998,2653000
2016/11/4,189,193.460007,185.960007,190.559998,5146000
2016/11/7,193.589996,194.289993,190.050003,193.210007,3870100
2016/11/8,193.789993,197.490005,191.259995,194.940002,3267600
2016/11/9,186.880005,192,183.949997,190.059998,8173100
2016/11/10,191.050003,191.610001,180.419998,185.350006,6750300
2016/11/11,184.240005,188.880005,183,188.559998,3988500
2016/11/14,188,188.25,178.190002,181.449997,6552200
2016/11/15,182.779999,186.429993,182.050003,183.770004,3902000
2016/11/16,182.649994,184.729996,181.210007,183.929993,3434400
2016/11/17,183.490005,189.490005,182.110001,188.660004,4887100
2016/11/18,190.649994,193,185,185.020004,5210300
2016/11/21,185.039993,188.889999,184.410004,184.520004,4361000
2016/11/22,185.839996,191.470001,183.710007,191.169998,5603400
2016/11/23,190.610001,195.639999,189,193.139999,4891900
2016/11/25,193.639999,197.240005,193.639999,196.649994,2366100
2016/11/28,195.479996,199.350006,194.550003,196.119995,4529200
2016/11/29,195.559998,196.729996,189.5,189.570007,4439300
2016/11/30,191,191.889999,187.5,189.399994,3547100
2016/12/1,188.25,188.529999,181,181.880005,5126400
2016/12/2,182.880005,184.880005,180,181.470001,4042300
2016/12/5,182.509995,188.889999,182.509995,186.800003,4072200
2016/12/6,185.520004,186.580002,182.679993,185.850006,3391600
2016/12/7,186.149994,193.399994,185,193.149994,5461900
2016/12/8,192.050003,192.5,189.539993,192.289993,3194100
2016/12/9,190.869995,193.839996,190.809998,192.179993,2722500
2016/12/12,192.800003,194.419998,191.179993,192.429993,2438900
2016/12/13,193.179993,201.279999,193,198.149994,6823900
2016/12/14,198.740005,203,196.759995,198.690002,4150900
2016/12/15,198.410004,200.740005,197.389999,197.580002,3219600
2016/12/16,198.080002,202.589996,197.600006,202.490005,3796900
2016/12/19,202.490005,204.449997,199.839996,202.729996,3488100
2016/12/20,203.050003,209,202.5,208.789993,4689100
2016/12/21,208.449997,212.229996,207.410004,207.699997,5207600
2016/12/22,208.220001,209.990005,206.5,208.449997,3111100
2016/12/23,208,213.449997,207.710007,213.339996,4670500
2016/12/27,214.880005,222.25,214.419998,219.529999,5915700
2016/12/28,221.529999,223.800003,217.199997,219.740005,3782500
2016/12/29,218.559998,219.199997,214.119995,214.679993,4045000
2016/12/30,216.300003,217.5,211.679993,213.690002,4642600
2017/1/3,214.860001,220.330002,210.960007,216.990005,5923300
2017/1/4,214.75,228,214.309998,226.990005,11213500
2017/1/5,226.419998,227.479996,221.949997,226.75,5911700
2017/1/6,226.929993,230.309998,225.449997,229.009995,5527900
2017/1/9,228.970001,231.919998,228,231.279999,3979500
2017/1/10,232,232,226.889999,229.869995,3660000
2017/1/11,229.070007,229.979996,226.679993,229.729996,3650800
2017/1/12,229.059998,230.699997,225.580002,229.589996,3790200
2017/1/13,230,237.850006,229.589996,237.75,6093000
2017/1/17,236.699997,239.960007,234.369995,235.580002,4617500
2017/1/18,236.649994,239.710007,235.580002,238.360001,3769000
2017/1/19,247.25,248.679993,240.75,243.759995,7732300
2017/1/20,245.460007,246,243.009995,244.729996,4204300
2017/1/23,245.850006,250.889999,245.5,248.919998,6262900
2017/1/24,250,254.800003,249.649994,254.610001,4965500
2017/1/25,257.309998,258.459991,251.800003,254.470001,5142600
2017/1/26,254.289993,255.740005,250.75,252.509995,3152100
2017/1/27,251.380005,253,248.520004,252.949997,3166300
2017/1/30,252.529999,255.289993,247.100006,250.630005,3801100
2017/1/31,249.240005,255.889999,247.699997,251.929993,4116100
2017/2/1,253.050003,253.199997,249.050003,249.240005,3958800
2017/2/2,248.339996,252.419998,247.710007,251.550003,2499800
2017/2/3,251.910004,252.179993,249.679993,251.330002,2186700
2017/2/6,251,257.820007,250.630005,257.769989,3562500
2017/2/7,258.190002,260,256.420013,257.480011,4244800
2017/2/8,257.350006,263.359985,256.200012,262.079987,3933000
